FECHA;CÓDIGO DE USUARIO;Producto;UBICACION 1 ;MONTO POR CALLE 1
9/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Rocafuerte ;$25 a $30 dólares
10/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Rocafuerte ;$5 a $10 dólares
11/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Rocafuerte ;$20 a $25 dólares
5/6/2023;1.1;LECHUGA, CHOCLO, CEBOLLA BLANCA, AJO;Av. Chile;$10 a $15 dólares
6/6/2023;1.1;LECHUGA, PAPAS, TOMATES, CHOCLO;Av. Chile;$10 a $15 dólares
7/6/2023;1.1;TOMATES, ZANAHORIA;Av. Chile;$5 a $10 dólares
8/6/2023;1.1;PAPAS, CHOCLO, ZANAHORIA, BRÓCOLI, CEBOLLA;Av. Chile;$15 a $20 dólares
9/6/2023;1.1;LECHUGA, PAPAS, TOMATES, CHOCLO, ZANAHORIA, BRÓCOLI, CEBOLLA;Av. Chile;$20 a $25 dólares
10/6/2023;1.1;LECHUGA, PAPAS, ZANAHORIA;Av. Chile;$5 a $10 dólares
11/6/2023;1.1;PAPAS, TOMATES;Av. Chile;$5 a $10 dólares
5/6/2023;2.2;PAPAS, TOMATES, CHOCLO, CEBOLLA;Av. Pedro Gual;$20 a $25 dólares
6/6/2023;2.2;PAPAS, TOMATES, ZANAHORIA, CEBOLLA;Av. Pedro Gual;$30 a $35 dólares
7/6/2023;2.2;LECHUGA, PAPAS, TOMATES, CHOCLO, ZANAHORIA, BRÓCOLI, CEBOLLA, CEBOLLA BLANCA, AJO;Av. Pedro Gual;Más de $40 dólares
8/6/2023;2.2;PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Pedro Gual;$20 a $25 dólares
9/6/2023;2.2;LECHUGA, PAPAS, TOMATES, CHOCLO, ZANAHORIA, BRÓCOLI, CEBOLLA, CEBOLLA BLANCA, AJO;Av. Pedro Gual;Más de $40 dólares
10/6/2023;2.2;PAPAS, TOMATES, ZANAHORIA, CEBOLLA;Av. Pedro Gual;$25 a $30 dólares
11/6/2023;2.2;LECHUGA, PAPAS, TOMATES, ZANAHORIA, BRÓCOLI, CEBOLLA, AJO;Av. Pedro Gual;$30 a $35 dólares
5/6/2023;3.1;PAPAS, TOMATES, CHOCLO, ZANAHORIA, CEBOLLA BLANCA;Av. Chile ;$10 a $15 dólares
6/6/2023;3.1;LECHUGA, TOMATES, CHOCLO, BRÓCOLI, CEBOLLA BLANCA;Av. Chile ;$5 a $10 dólares
7/6/2023;3.1;PAPAS, TOMATES, ZANAHORIA, BRÓCOLI, CEBOLLA;Av. Chile;$10 a $15 dólares
8/6/2023;3.1;LECHUGA, TOMATES, CHOCLO, BRÓCOLI, CEBOLLA;Av. Chile;$10 a $15 dólares
9/6/2023;3.1;LECHUGA, CHOCLO, CEBOLLA;Av. Chile;$5 a $10 dólares
10/6/2023;3.1;TOMATES, CHOCLO, ZANAHORIA;Av. Chile;$5 a $10 dólares
11/6/2023;3.1;LECHUGA, ZANAHORIA, BRÓCOLI, CEBOLLA BLANCA, AJO;Av. Chile;$5 a $10 dólares
5/6/2023;4.3;LECHUGA, PAPAS, ZANAHORIA, CEBOLLA, CEBOLLA BLANCA;Av. Chile;$15 a $20 dólares
6/6/2023;4.3;PAPAS, TOMATES, CHOCLO, CEBOLLA;Av. Chile;$10 a $15 dólares
7/6/2023;4.3;PAPAS, TOMATES, CHOCLO, CEBOLLA BLANCA;Av. Chile;$10 a $15 dólares
8/6/2023;4.3;PAPAS, TOMATES, CHOCLO, ZANAHORIA, CEBOLLA;Av. Chile;$10 a $15 dólares
9/6/2023;4.3;PAPAS;Av. Chile;$5 a $10 dólares
10/6/2023;4.3;PAPAS, TOMATES;Av. Chile;$5 a $10 dólares
11/6/2023;4.3;TOMATES, CEBOLLA;Av. Chile;$5 a $10 dólares
5/6/2023;5.1;LECHUGA, PAPAS, ZANAHORIA, BRÓCOLI;Av. Reales Tamarindo;$10 a $15 dólares
6/6/2023;5.1;LECHUGA, PAPAS, TOMATES, CHOCLO, ZANAHORIA, BRÓCOLI, AJO;Av. Reales Tamarindo;$20 a $25 dólares
